country_code,name,type,gender,population
PL,Bożewiecka,lastname,,
PL,Senukowska,lastname,,
HU,Boglárka Marcella,firstname,F,1
PL,Atłaski,lastname,M,21
PL,Kiełbasiak,lastname,,7
SK,Griglak,firstname,,
PL,Waderek,lastname,,2
CZ,Kwiczala,lastname,M,38
CZ,Sator,lastname,M,2
PL,Cekałowski,lastname,M,6
CZ,Szkokan,lastname,M,4
PL,Biedrzyński,lastname,M,244
CZ,Roudný,lastname,M,136
PL,Kudella,lastname,,10
CZ,Gaváčová,lastname,F,1
PL,Bubicz,lastname,,262
PL,Manżet,lastname,,1
PL,Steltmann,lastname,,81
PL,Chwołka,lastname,,165
PL,Haładyn,lastname,,307
PL,Weisła,lastname,,
SK,Misariko,lastname,,6
HU,Horváthné Svjatkó,lastname,F,3
PL,Pruchoniak,lastname,,
CZ,Barazzutti,lastname,M,2
PL,Gilich,lastname,,5
CZ,Rauschertová,lastname,F,8
PL,Żuraniecka,lastname,F,1
PL,Donisiewicz,lastname,,2
CZ,Zinčak,lastname,M,1
PL,Hurbakowicz,lastname,,
CZ,Avia,firstname,,2
PL,Damurad,lastname,,
CZ,Marek Franciszek,firstname,,1
HU,Nikoletta Regina,firstname,F,7
HU,Rimavölgyi,lastname,U,12
CZ,Slabak,lastname,M,2
CZ,Vadel,lastname,M,14
CZ,Bezuška,lastname,M,3
CZ,Sypecký,lastname,M,34
HU,Yun-Cheng,firstname,,1
HU,Malovetz,lastname,U,6
PL,Kadryś,lastname,,4
CZ,Knoflíček,lastname,M,221
CZ,Bellinviová,lastname,F,1
CZ,Asmaa,firstname,,3
CZ,Dobrovolná,lastname,M,1160
PL,Legierski,lastname,M,1471
HU,Rődel,lastname,U,6
CZ,Kilian Paul,firstname,,1
PL,Przebindo,lastname,,1
PL,Kołuzińska,lastname,,
CZ,Selichar,lastname,M,48
PL,A3Mj Marek Jankowski,firstname,,
SK,Jaščur,lastname,,43
HU,Kincső Barbara,firstname,F,1
PL,Wieladek,lastname,,7
CZ,Unkovićová,lastname,F,1
HU,Hoffgart,lastname,U,15
CZ,Čerňanský,lastname,M,114
PL,Myszakow,lastname,,1
PL,Ausenberg,lastname,,16
HU,Fábiánné Cser,lastname,F,3
CZ,Eningerová,lastname,F,2
PL,Filaś,lastname,,1
HU,Ludovic Marian,firstname,,1
PL,Bukiniec,lastname,,
PL,Sztubacka,lastname,F,4
CZ,Tamal,firstname,,2
CZ,Cristo Leon,firstname,,1
PL,Kedżuch,lastname,,1
CZ,Kosáčková,lastname,F,53
PL,Helleńska,lastname,,1
HU,Eltigani,lastname,U,6
HU,Heverkle,lastname,U,12
CZ,Zebischová,lastname,F,18
CZ,Sofilkanyčová,lastname,F,1
CZ,Rohrich Kašpar,lastname,M,1
HU,Alfréd Bálint,firstname,M,1
PL,Łukojańska,lastname,,
CZ,Divič,lastname,M,5
PL,Lwowicz-Kostrzyco,lastname,,5
CZ,Skerlová,lastname,F,6
PL,Johs,lastname,,
HU,Liam Marin,lastname,U,3
PL,Deletka,lastname,,
CZ,Kunčar,lastname,M,236
HU,Emma Szelina,firstname,F,1
CZ,Jankovská Šimůnková,lastname,F,1
HU,Boócz,lastname,U,15
PL,Sorysiak,lastname,,
PL,Syrzyn,lastname,,
HU,Butcovan,lastname,U,3
CZ,O´Loughlin,lastname,M,2
SK,Madzíková,lastname,,3
SK,Chrenka,lastname,,104
CZ,Elcner,lastname,M,8
PL,Szczyrzydło,lastname,,1
HU,Pál Placid,firstname,M,1
CZ,Dvířka,lastname,M,9
PL,Chudolej,lastname,,3
HU,Hirosik,lastname,U,3
HU,Zipfinger,lastname,U,
CZ,Čácha,lastname,M,62
PL,Fastycz,lastname,,
CZ,Škréta,lastname,M,55
PL,Spichowicz,lastname,,1
PL,Bołejko,lastname,,10
PL,Kleczoj,lastname,,
PL,Wichner,lastname,,5
CZ,Fishová,lastname,F,1
CZ,Laerke Margrethe,firstname,,1
CZ,Ben Mbarek,lastname,M,1
HU,Szabrina Andrea,firstname,F,1
PL,Sciolna,lastname,F,1
PL,Bielenis,lastname,,39
PL,Derzypolski,lastname,M,2
PL,Czieśla,lastname,,3
PL,Berężańska,lastname,,1
CZ,Lehneisová,lastname,F,3
HU,Hortenzia Cintia,firstname,F,1
CZ,Cíl,lastname,M,69
PL,Szaszowski,lastname,M,36
PL,Szylińczuk,lastname,,14
HU,Dudásné Fejér,lastname,F,3
CZ,Malaťaková,lastname,F,12
PL,Stany,lastname,,1
CZ,Jomaa,lastname,M,2
SK,Pobeha,lastname,,18
CZ,Burantová,lastname,F,43
CZ,Kian Nicolas,firstname,,1
PL,Bombecki,lastname,M,4
SK,Danylo,firstname,M,
SK,Hertzel,firstname,,
HU,Gusztáv Albert,firstname,M,1
SK,Sebek,lastname,,
CZ,Haislar,lastname,M,6
CZ,Bouassida,lastname,M,2
CZ,Kojnoková,lastname,F,10
PL,Chutna,lastname,,26
HU,Pillér,lastname,U,42
HU,Andrea Marina,firstname,F,2
PL,Chorkiewicz,lastname,,1
HU,Zambo,lastname,U,3
PL,Skowalczyński,lastname,M,15
SK,Brozmanová,lastname,,190
HU,Reuzé,lastname,U,3
PL,Staporska,lastname,,1
HU,Gréta Melitta,firstname,F,5
CZ,Wenzlová Tabery,lastname,M,1
HU,Zara Magdolna,firstname,F,1
HU,Benjámin Lucas,firstname,M,1
CZ,Mark-Frank,firstname,,1
PL,Tarnaski,lastname,M,26
HU,Kincső Valéria,firstname,F,1
SK,Edgardo,firstname,M,
HU,Kálmán Gergő,firstname,M,3
SK,Grellová,firstname,,
CZ,Feiglerová,lastname,F,1
HU,Tóth-Pálmüller,lastname,U,3
HU,Áron Örs,firstname,M,1
SK,Viteková,firstname,,
CZ,Burdilová,lastname,F,21
